# Série;Designação da série (PT);Métrica;Unidade de Medida;Período de referência;Valor;Estado
12561508;Dívida das administrações públicas - Mensal - M€;Valor;Milhões de euros;2012-08-31;214100.18;
12561508;Dívida das administrações públicas - Mensal - M€;Valor;Milhões de euros;2012-09-30;215604.67;
12561508;Dívida das administrações públicas - Mensal - M€;Valor;Milhões de euros;2012-10-31;217901.81;
12561508;Dívida das administrações públicas - Mensal - M€;Valor;Milhões de euros;2012-11-30;220946.15;
12561508;Dívida das administrações públicas - Mensal - M€;Valor;Milhões de euros;2012-12-31;217160.26;
12561508;Dívida das administrações públicas - Mensal - M€;Valor;Milhões de euros;2013-01-31;221487.89;
12561508;Dívida das administrações públicas - Mensal - M€;Valor;Milhões de euros;2013-02-28;221679.32;
12561508;Dívida das administrações públicas - Mensal - M€;Valor;Milhões de euros;2013-03-31;220536.82;
12561508;Dívida das administrações públicas - Mensal - M€;Valor;Milhões de euros;2013-04-30;221150.62;
12561508;Dívida das administrações públicas - Mensal - M€;Valor;Milhões de euros;2013-05-31;223539.80;
12561508;Dívida das administrações públicas - Mensal - M€;Valor;Milhões de euros;2013-06-30;226995.55;
12561508;Dívida das administrações públicas - Mensal - M€;Valor;Milhões de euros;2013-07-31;225046.13;
12561508;Dívida das administrações públicas - Mensal - M€;Valor;Milhões de euros;2013-08-31;226236.67;
12561508;Dívida das administrações públicas - Mensal - M€;Valor;Milhões de euros;2013-09-30;221692.81;
12561508;Dívida das administrações públicas - Mensal - M€;Valor;Milhões de euros;2013-10-31;221106.17;
12561508;Dívida das administrações públicas - Mensal - M€;Valor;Milhões de euros;2013-11-30;227618.42;
12561508;Dívida das administrações públicas - Mensal - M€;Valor;Milhões de euros;2013-12-31;224077.55;
12561508;Dívida das administrações públicas - Mensal - M€;Valor;Milhões de euros;2014-01-31;227433.45;
12561508;Dívida das administrações públicas - Mensal - M€;Valor;Milhões de euros;2014-02-28;230802.90;
12561508;Dívida das administrações públicas - Mensal - M€;Valor;Milhões de euros;2014-03-31;231035.27;
12561508;Dívida das administrações públicas - Mensal - M€;Valor;Milhões de euros;2014-04-30;232735.68;
12561508;Dívida das administrações públicas - Mensal - M€;Valor;Milhões de euros;2014-05-31;231267.70;
12561508;Dívida das administrações públicas - Mensal - M€;Valor;Milhões de euros;2014-06-30;229207.31;
12561508;Dívida das administrações públicas - Mensal - M€;Valor;Milhões de euros;2014-07-31;230588.70;
12561508;Dívida das administrações públicas - Mensal - M€;Valor;Milhões de euros;2014-08-31;231460.27;
12561508;Dívida das administrações públicas - Mensal - M€;Valor;Milhões de euros;2014-09-30;233964.97;
12561508;Dívida das administrações públicas - Mensal - M€;Valor;Milhões de euros;2014-10-31;229771.49;
12561508;Dívida das administrações públicas - Mensal - M€;Valor;Milhões de euros;2014-11-30;231088.14;
12561508;Dívida das administrações públicas - Mensal - M€;Valor;Milhões de euros;2014-12-31;230058.75;
12561508;Dívida das administrações públicas - Mensal - M€;Valor;Milhões de euros;2015-01-31;237841.44;
12561508;Dívida das administrações públicas - Mensal - M€;Valor;Milhões de euros;2015-02-28;240562.57;
